TeamID,TeamName,FirstD1Season,LastD1Season,Matched
1101,Abilene Chr,2014,2022,
1102,Air Force,1985,2022,
1103,Akron,1985,2022,x
1104,Alabama,1985,2022,x
1105,Alabama A&M,2000,2022,
1106,Alabama St,1985,2022,
1107,SUNY Albany,2000,2022,
1108,Alcorn St,1985,2022,
1109,Alliant Intl,1985,1991,
1110,American Univ,1985,2022,
1111,Appalachian St,1985,2022,
1112,Arizona,1985,2022,x
1113,Arizona St,1985,2022,
1114,Ark Little Rock,1985,2022,
1115,Ark Pine Bluff,1999,2022,
1116,Arkansas,1985,2022,x
1117,Arkansas St,1985,2022,
1118,Armstrong St,1987,1987,
1119,Army,1985,2022,
1120,Auburn,1985,2022,
1121,Augusta,1985,1991,
1122,Austin Peay,1985,2022,
1123,Ball St,1985,2022,
1124,Baylor,1985,2022,
1125,Belmont,2000,2022,
1126,Bethune-Cookman,1985,2022,
1127,Binghamton,2002,2022,
1128,Birmingham So,2003,2006,
1129,Boise St,1985,2022,
1130,Boston College,1985,2022,
1131,Boston Univ,1985,2022,
1132,Bowling Green,1985,2022,
1133,Bradley,1985,2022,
1134,Brooklyn,1985,1992,
1135,Brown,1985,2022,
1136,Bryant,2009,2022,
1137,Bucknell,1985,2022,
1138,Buffalo,1992,2022,
1139,Butler,1985,2022,
1140,BYU,1985,2022,
1141,C Michigan,1985,2022,
1142,Cal Poly,1995,2022,
1143,California,1985,2022,
1144,Campbell,1985,2022,
1145,Canisius,1985,2022,
1146,Cent Arkansas,2007,2022,
1147,Centenary,1985,2011,
1148,Central Conn,1987,2022,
1149,Charleston So,1985,2022,
1150,Charlotte,1985,2022,
1151,Chattanooga,1985,2022,
1152,Chicago St,1985,2022,
1153,Cincinnati,1985,2022,
1154,Citadel,1985,2022,
1155,Clemson,1985,2022,
1156,Cleveland St,1985,2022,
1157,Coastal Car,1987,2022,
1158,Col Charleston,1992,2022,
1159,Colgate,1985,2022,
1160,Colorado,1985,2022,
1161,Colorado St,1985,2022,
1162,Columbia,1985,2022,
1163,Connecticut,1985,2022,
1164,Coppin St,1986,2022,
1165,Cornell,1985,2022,
1166,Creighton,1985,2022,
1167,CS Bakersfield,2008,2022,
1168,CS Fullerton,1985,2022,
1169,CS Northridge,1991,2022,
1170,CS Sacramento,1992,2022,
1171,Dartmouth,1985,2022,
1172,Davidson,1985,2022,
1173,Dayton,1985,2022,
1174,Delaware,1985,2022,
1175,Delaware St,1985,2022,
1176,Denver,1999,2022,
1177,DePaul,1985,2022,
1178,Detroit,1985,2022,
1179,Drake,1985,2022,
1180,Drexel,1985,2022,
1181,Duke,1985,2022,
1182,Duquesne,1985,2022,
1183,E Illinois,1985,2022,
1184,E Kentucky,1985,2022,
1185,E Michigan,1985,2022,
1186,E Washington,1985,2022,
1187,East Carolina,1985,2022,
1188,SIUE,2009,2022,
1189,Elon,2000,2022,
1190,ETSU,1985,2022,
1191,Evansville,1985,2022,
1192,F Dickinson,1985,2022,
1193,Fairfield,1985,2022,
1194,FL Atlantic,1994,2022,
1195,FL Gulf Coast,2008,2022,
1196,Florida,1985,2022,
1197,Florida A&M,1985,2022,
1198,Florida Intl,1988,2022,
1199,Florida St,1985,2022,
1200,Fordham,1985,2022,
1201,Fresno St,1985,2022,
1202,Furman,1985,2022,
1203,G Washington,1985,2022,
1204,Ga Southern,1985,2022,
1205,Gardner Webb,2003,2022,
1206,George Mason,1985,2022,
1207,Georgetown,1985,2022,
1208,Georgia,1985,2022,
1209,Georgia St,1985,2022,
1210,Georgia Tech,1985,2022,
1211,Gonzaga,1985,2022,
1212,Grambling,1985,2022,
1213,Grand Canyon,2014,2022,
1214,Hampton,1996,2022,
1215,Hardin-Simmons,1985,1990,
1216,Hartford,1985,2022,
1217,Harvard,1985,2022,
1218,Hawaii,1985,2022,
1219,High Point,2000,2022,
1220,Hofstra,1985,2022,
1221,Holy Cross,1985,2022,
1222,Houston,1985,2022,
1223,Houston Bap,1985,2022,
1224,Howard,1985,2022,
1225,Idaho,1985,2022,
1226,Idaho St,1985,2022,
1227,IL Chicago,1985,2022,
1228,Illinois,1985,2022,
1229,Illinois St,1985,2022,
1230,Incarnate Word,2014,2022,
1231,Indiana,1985,2022,
1232,Indiana St,1985,2022,
1233,Iona,1985,2022,
1234,Iowa,1985,2022,
1235,Iowa St,1985,2022,
1236,PFW,2003,2022,
1237,IUPUI,1999,2022,
1238,Jackson St,1985,2022,
1239,Jacksonville,1985,2022,
1240,Jacksonville St,1996,2022,
1241,James Madison,1985,2022,
1242,Kansas,1985,2022,
1243,Kansas St,1985,2022,
1244,Kennesaw,2006,2022,
1245,Kent,1985,2022,
1246,Kentucky,1985,2022,
1247,La Salle,1985,2022,
1248,Lafayette,1985,2022,
1249,Lamar,1985,2022,
